Time,EEG,BIS
00:00:00,,
00:00:00.200000,,
00:00:00.400000,,
00:00:00.600000,,
00:00:00.800000,,
00:00:01,,
00:00:01.200000,,
00:00:01.400000,,
00:00:01.600000,,
00:00:01.800000,,
00:00:02,,
00:00:02.200000,,
00:00:02.400000,,
00:00:02.600000,,
00:00:02.800000,,
00:00:03,,
00:00:03.200000,,
00:00:03.400000,,
00:00:03.600000,,
00:00:03.800000,,
00:00:04,,
00:00:04.200000,,
00:00:04.400000,,
00:00:04.600000,,
00:00:04.800000,,
00:00:05,,
00:00:05.200000,,
00:00:05.400000,,
00:00:05.600000,,
00:00:05.800000,,
00:00:06,,
00:00:06.200000,,
00:00:06.400000,,
00:00:06.600000,,
00:00:06.800000,,
00:00:07,,
00:00:07.200000,,
00:00:07.400000,,
00:00:07.600000,,
00:00:07.800000,,
00:00:08,,
00:00:08.200000,,
00:00:08.400000,,
00:00:08.600000,,
00:00:08.800000,,
00:00:09,,
00:00:09.200000,,
00:00:09.400000,,
00:00:09.600000,,
00:00:09.800000,,
00:00:10,,
00:00:10.200000,,
00:00:10.400000,,
00:00:10.600000,,
00:00:10.800000,,
00:00:11,,
00:00:11.200000,,
00:00:11.400000,,
00:00:11.600000,,
00:00:11.800000,,
00:00:12,,
00:00:12.200000,,
00:00:12.400000,,
00:00:12.600000,,
00:00:12.800000,,
00:00:13,,
00:00:13.200000,,
00:00:13.400000,,
00:00:13.600000,,
00:00:13.800000,,
00:00:14,,
00:00:14.200000,,
00:00:14.400000,,
00:00:14.600000,,
00:00:14.800000,,
00:00:15,,
00:00:15.200000,,
00:00:15.400000,,
00:00:15.600000,,
00:00:15.800000,,
00:00:16,,
00:00:16.200000,,
00:00:16.400000,,
00:00:16.600000,,
00:00:16.800000,,
00:00:17,,
00:00:17.200000,,
00:00:17.400000,,
00:00:17.600000,,
00:00:17.800000,,
00:00:18,,
00:00:18.200000,,
00:00:18.400000,,
00:00:18.600000,,
00:00:18.800000,,
00:00:19,,
00:00:19.200000,,
00:00:19.400000,,
00:00:19.600000,,
00:00:19.800000,,
00:00:20,,
00:00:20.200000,,
00:00:20.400000,,
00:00:20.600000,,
00:00:20.800000,,
00:00:21,,
00:00:21.200000,,
00:00:21.400000,,
00:00:21.600000,,
00:00:21.800000,,
00:00:22,,
00:00:22.200000,,
00:00:22.400000,,
00:00:22.600000,,
00:00:22.800000,,
00:00:23,,
00:00:23.200000,,
00:00:23.400000,,
00:00:23.600000,,
00:00:23.800000,,
00:00:24,,
00:00:24.200000,,
00:00:24.400000,,
00:00:24.600000,,
00:00:24.800000,,
00:00:25,,
00:00:25.200000,,
00:00:25.400000,,
00:00:25.600000,,
00:00:25.800000,,
00:00:26,,
00:00:26.200000,,
00:00:26.400000,,
00:00:26.600000,,
00:00:26.800000,,
00:00:27,,
00:00:27.200000,,
00:00:27.400000,,
00:00:27.600000,,
00:00:27.800000,,
00:00:28,,
00:00:28.200000,,
00:00:28.400000,,
00:00:28.600000,,
00:00:28.800000,,
00:00:29,,
